source_id,name,phone,date,item,submitted_at
1,Alice Example,010-1234-5678,1990. 2. 3,open,2026-08-01T09:00:00Z
2,Alice Example,01012345678,1990-02-03,open,2026-08-01T09:01:00Z
3,Shared Contact,10 1234 5678,1988-01-01,open,2026-08-01T09:02:00Z
4,Changed Phone,010-2000-0001,1985-04-05,open,2026-08-01T09:03:00Z
5,Changed Phone,010-2000-0002,1985-04-05,open,2026-08-01T09:04:00Z
6,Bad Values,1234,1999-02-30,open,2026-08-01T09:05:00Z
7,Prior Participant,010-3000-0001,1980-03-04,open,2026-08-01T09:06:00Z
8,Blocked Phone,010-4000-0001,1970-05-06,open,2026-08-01T09:07:00Z
9,Blocked Identity,010-5000-0001,1975-06-07,open,2026-08-01T09:08:00Z
10,,010-6000-0001,1992-07-08,open,2026-08-01T09:09:00Z
11,Closed Item,010-7000-0001,1993-08-09,closed,2026-08-01T09:10:00Z
12,Family One,010-8000-0001,1994-09-10,open,2026-08-01T09:11:00Z
13,Family Two,010-8000-0001,1995-10-11,open,2026-08-01T09:12:00Z
